pet_id,customer_id,wet_food_order_number,pet_has_active_subscription,pet_food_tier,pet_allergen_list,pet_fav_flavour_list,pet_health_issue_list,neutered,gender,pet_breed_size,signup_promo,ate_wet_food_pre_tails,dry_food_brand_pre_tails,pet_life_stage_at_order,total_order_kcal,total_web_sessions,total_web_sessions_since_last_order,total_minutes_on_website
3.62966E+14,1.35329E+19,0,0,superpremium,,Chicken,"digestion, joints",1,female,large,Null & Default,1,Canagan,mature,6198.344,1,0,12
7.06835E+14,8.69605E+18,0,0,superpremium,,Chicken,"digestion, joints",0,female,large,Null & Default,0,Canagan,mature,47147.816,11,3,18
2.95696E+15,3.21529E+17,0,0,superpremium,,Chicken,"digestion, joints",0,female,large,Null & Default,1,Canagan,mature,2398.968,2,1,615
3.45635E+15,1.33534E+19,3,4,superpremium,,Chicken,"digestion, joints",4,female,large,Null & Default,0,Canagan,mature,107410.6,7,2,813
4.03756E+15,2.9724E+18,0,0,superpremium,,Chicken,"digestion, joints",8,female,large,Null & Default,0,Canagan,mature,110461.6,16,1,168
6.07018E+15,1.7406E+19,0,4,premium,,,,0,female,medium,Refer a Friend,4,Pets at Home Complete,mature,67387.7825,19,5,125
1.05371E+16,1.82277E+19,3,2,premium,,,,2,female,medium,Refer a Friend,0,Pets at Home Complete,mature,45537.01,2,0,26
1.15836E+16,9.21897E+18,0,0,premium,,,,0,female,medium,Refer a Friend,0,Pets at Home Complete,mature,121850.326,28,7,284
1.36642E+16,1.5332E+19,15,5,premium,,,,5,female,medium,Refer a Friend,5,Pets at Home Complete,mature,29862.597,44,16,3972
1.38248E+16,1.41153E+19,0,4,premium,,,,0,female,medium,Refer a Friend,0,Pets at Home Complete,mature,34626.675,13,6,73
1.40461E+16,6.35918E+18,4,2,premium,,,,0,female,medium,Refer a Friend,2,Pets at Home Complete,mature,11327.596,7,2,59
1.44559E+16,1.50397E+19,0,0,premium,,,,2,female,medium,Refer a Friend,0,Pets at Home Complete,mature,62303.455,3,1,14
1.49047E+16,6.59374E+18,0,0,premium,,,,0,female,medium,Refer a Friend,0,Pets at Home Complete,mature,9820.53,1,0,104
1.83166E+16,3.01165E+18,3,0,premium,,,,2,female,medium,Refer a Friend,2,Pets at Home Complete,mature,19614.555,2,0,114
1.95574E+16,6.06861E+18,0,1,premium,,,,1,female,medium,Refer a Friend,0,Pets at Home Complete,mature,8854.931,1,0,22
2.04718E+16,6.99423E+18,0,2,premium,,,,0,female,medium,Refer a Friend,0,Pets at Home Complete,mature,12151.26,1,1,4
2.11094E+16,1.48425E+18,0,0,mid,,,,7,male,small,Digital Display,0,Pedigree,half_maturity,311947.687,48,11,4042
2.75146E+16,6.14025E+18,0,0,mid,,,,0,male,small,Digital Display,0,Pedigree,half_maturity,31337.503,1,0,18
2.77232E+16,7.72529E+18,0,3,mid,,,,3,male,small,Digital Display,3,Pedigree,half_maturity,21331.84,10,5,35
2.84543E+16,1.37916E+19,0,1,mid,,,,1,male,small,Digital Display,0,Pedigree,half_maturity,19834.692,1,0,8
3.23533E+16,1.11904E+19,6,6,mid,,,,0,male,small,Digital Display,6,Pedigree,half_maturity,88561.47,29,10,122
3.44793E+16,1.41436E+19,0,4,superpremium,beef dairy egg soya wheat,,,0,male,small,Search Generic,4,Royal Canin,mature,49718.962,7,1,426
3.4832E+16,1.06737E+19,3,4,superpremium,beef dairy egg soya wheat,,,4,male,small,Search Generic,0,Royal Canin,mature,130519.628,23,13,93
3.51794E+16,1.18892E+19,10,4,superpremium,beef dairy egg soya wheat,,,0,male,small,Search Generic,4,Royal Canin,mature,47024.355,17,6,148
3.57921E+16,1.1178E+19,0,13,superpremium,beef dairy egg soya wheat,,,13,male,small,Search Generic,13,Royal Canin,mature,296932.238,176,20,3195
3.78738E+16,1.33257E+19,0,16,superpremium,beef dairy egg soya wheat,,,16,male,small,Search Generic,0,Royal Canin,mature,593921.359,190,27,884
3.95308E+16,1.18762E+19,10,0,superpremium,,Chicken,digestion,4,female,medium,Null & Default,4,Royal Canin,mature,40511.909,5,1,300
3.95451E+16,1.08909E+19,0,3,superpremium,,Chicken,digestion,3,female,medium,Null & Default,0,Royal Canin,mature,37194.384,9,5,78
4.45941E+16,1.26024E+19,0,2,superpremium,,Chicken,digestion,0,female,medium,Null & Default,0,Royal Canin,mature,97844.753,12,9,1344
4.47557E+16,4.99614E+18,6,0,mid,,,digestion,3,female,large,Search Generic,3,Pets at Home Complete,mature,25121.698,23,15,2364
4.51279E+16,1.75394E+19,0,1,mid,,,digestion,1,female,large,Search Generic,1,Pets at Home Complete,mature,15883.964,2,1,45
4.60187E+16,1.07472E+19,0,5,superpremium,beef dairy egg grain soya wheat,Chicken Lamb,"joints, skin and coat",0,male,medium,Null & Default,0,Iams,senior,76268.4805,11,2,74
4.95945E+16,1.67405E+19,0,0,superpremium,beef dairy egg soya wheat,Chicken Lamb,skin and coat,0,female,medium,Null & Default,0,Lily's Kitchen,mature,48979.973,5,1,79
4.97117E+16,1.19564E+19,21,0,superpremium,beef dairy egg soya wheat,Chicken Lamb,skin and coat,6,female,medium,Null & Default,6,Lily's Kitchen,mature,95158.29,60,18,3774
4.97613E+16,3.59273E+18,0,4,superpremium,beef dairy egg soya wheat,Chicken Lamb,skin and coat,0,female,medium,Null & Default,0,Lily's Kitchen,mature,30194.703,36,16,3485
5.15163E+16,6.87588E+18,0,0,mid,,,joints,1,male,large,Search Generic,0,Harringtons,senior,30895.184,1,0,8
5.20339E+16,4.63719E+18,6,3,mid,,,joints,3,male,large,Search Generic,3,Harringtons,senior,23617.245,32,21,2482
5.48603E+16,4.86664E+18,1,2,mid,,,joints,0,male,large,Search Generic,0,Harringtons,senior,24363.252,7,5,59
5.56483E+16,1.51724E+19,0,3,mid,,,joints,0,male,large,Search Generic,3,Harringtons,senior,13963.816,10,5,204
5.68526E+16,1.07809E+19,0,0,mid,,,joints,0,male,large,Search Generic,0,Harringtons,senior,91014.963,14,4,49
5.75825E+16,8.60786E+18,0,8,mid,,,joints,8,male,large,Search Generic,0,Harringtons,senior,77423.807,120,29,13319
