wet_food_order_number,pet_food_tier,pet_allergen_list,pet_fav_flavour_list,pet_health_issue_list,neutered,gender,pet_breed_size,signup_promo,ate_wet_food_pre_tails,dry_food_brand_pre_tails,pet_life_stage_at_order,total_order_kcal,total_web_sessions,total_web_sessions_since_last_order,total_minutes_on_website,pet_has_active_subscription
0,1,0,1,1,1,2,3,0,1,1,1,6198.344,1,0,12,0
0,1,0,1,1,0,2,3,0,0,1,1,47147.816,11,3,18,0
0,1,0,1,1,0,2,3,0,1,1,1,2398.968,2,1,615,0
1,1,0,1,1,1,2,3,0,0,1,1,107410.6,7,2,813,1
0,1,0,1,1,1,2,3,0,0,1,1,110461.6,16,1,168,0
0,1,0,0,0,0,2,2,1,1,1,1,67387.7825,19,5,125,1
1,1,0,0,0,1,2,2,1,0,1,1,45537.01,2,0,26,1
0,1,0,0,0,0,2,2,1,0,1,1,121850.326,28,7,284,0
1,1,0,0,0,1,2,2,1,1,1,1,29862.597,44,16,3972,1
0,1,0,0,0,0,2,2,1,0,1,1,34626.675,13,6,73,1
1,1,0,0,0,0,2,2,1,1,1,1,11327.596,7,2,59,1
0,1,0,0,0,1,2,2,1,0,1,1,62303.455,3,1,14,0
0,1,0,0,0,0,2,2,1,0,1,1,9820.53,1,0,104,0
1,1,0,0,0,1,2,2,1,1,1,1,19614.555,2,0,114,0
0,1,0,0,0,1,2,2,1,0,1,1,8854.931,1,0,22,1
0,1,0,0,0,0,2,2,1,0,1,1,12151.26,1,1,4,1
0,0,0,0,0,1,1,1,1,0,1,1,311947.687,48,11,4042,0
0,0,0,0,0,0,1,1,1,0,1,1,31337.503,1,0,18,0
0,0,0,0,0,1,1,1,1,1,1,1,21331.84,10,5,35,1
0,0,0,0,0,1,1,1,1,0,1,1,19834.692,1,0,8,1
1,0,0,0,0,0,1,1,1,1,1,1,88561.47,29,10,122,1
0,1,1,0,0,0,1,1,1,1,1,1,49718.962,7,1,426,1
1,1,1,0,0,1,1,1,1,0,1,1,130519.628,23,13,93,1
1,1,1,0,0,0,1,1,1,1,1,1,47024.355,17,6,148,1
0,1,1,0,0,1,1,1,1,1,1,1,296932.238,176,20,3195,1
0,1,1,0,0,1,1,1,1,0,1,1,593921.359,190,27,884,1
1,1,0,1,1,1,2,2,0,1,1,1,40511.909,5,1,300,0
0,1,0,1,1,1,2,2,0,0,1,1,37194.384,9,5,78,1
0,1,0,1,1,0,2,2,0,0,1,1,97844.753,12,9,1344,1
1,0,0,0,1,1,2,3,1,1,1,1,25121.698,23,15,2364,0
0,0,0,0,1,1,2,3,1,1,1,1,15883.964,2,1,45,1
0,1,1,1,1,0,1,2,0,0,1,2,76268.4805,11,2,74,1
0,1,1,1,1,0,2,2,0,0,1,1,48979.973,5,1,79,0
1,1,1,1,1,1,2,2,0,1,1,1,95158.29,60,18,3774,0
0,1,1,1,1,0,2,2,0,0,1,1,30194.703,36,16,3485,1
0,0,0,0,1,1,1,3,1,0,1,2,30895.184,1,0,8,0
1,0,0,0,1,1,1,3,1,1,1,2,23617.245,32,21,2482,1
1,0,0,0,1,0,1,3,1,0,1,2,24363.252,7,5,59,1
0,0,0,0,1,0,1,3,1,1,1,2,13963.816,10,5,204,1
0,0,0,0,1,0,1,3,1,0,1,2,91014.963,14,4,49,0
