pet_id,customer_id,wet_food_order_number,pet_has_active_subscription,pet_food_tier,pet_allergen_list,pet_fav_flavour_list,pet_health_issue_list,neutered,gender,pet_breed_size,signup_promo,ate_wet_food_pre_tails,dry_food_brand_pre_tails,pet_life_stage_at_order,total_order_kcal,total_web_sessions,total_web_sessions_since_last_order,total_minutes_on_website
362966000000000.0,1.35329e+19,0,0,1,0,1,1,1,2,3,0,1,1,1,6198.344,1,0,12
706835000000000.0,8.69605e+18,0,0,1,0,1,1,0,2,3,0,0,1,1,47147.816,11,3,18
2956960000000000.0,3.21529e+17,0,0,1,0,1,1,0,2,3,0,1,1,1,2398.968,2,1,615
3456350000000000.0,1.33534e+19,1,1,1,0,1,1,1,2,3,0,0,1,1,107410.6,7,2,813
4037560000000000.0,2.9724e+18,0,0,1,0,1,1,1,2,3,0,0,1,1,110461.6,16,1,168
6070180000000000.0,1.7406e+19,0,1,1,0,0,0,0,2,2,1,1,1,1,67387.7825,19,5,125
1.05371e+16,1.82277e+19,1,1,1,0,0,0,1,2,2,1,0,1,1,45537.01,2,0,26
1.15836e+16,9.21897e+18,0,0,1,0,0,0,0,2,2,1,0,1,1,121850.326,28,7,284
1.36642e+16,1.5332e+19,1,1,1,0,0,0,1,2,2,1,1,1,1,29862.597,44,16,3972
1.38248e+16,1.41153e+19,0,1,1,0,0,0,0,2,2,1,0,1,1,34626.675,13,6,73
1.40461e+16,6.35918e+18,1,1,1,0,0,0,0,2,2,1,1,1,1,11327.596,7,2,59
1.44559e+16,1.50397e+19,0,0,1,0,0,0,1,2,2,1,0,1,1,62303.455,3,1,14
1.49047e+16,6.59374e+18,0,0,1,0,0,0,0,2,2,1,0,1,1,9820.53,1,0,104
1.83166e+16,3.01165e+18,1,0,1,0,0,0,1,2,2,1,1,1,1,19614.555,2,0,114
1.95574e+16,6.06861e+18,0,1,1,0,0,0,1,2,2,1,0,1,1,8854.931,1,0,22
2.04718e+16,6.99423e+18,0,1,1,0,0,0,0,2,2,1,0,1,1,12151.26,1,1,4
2.11094e+16,1.48425e+18,0,0,0,0,0,0,1,1,1,1,0,1,1,311947.687,48,11,4042
2.75146e+16,6.14025e+18,0,0,0,0,0,0,0,1,1,1,0,1,1,31337.503,1,0,18
2.77232e+16,7.72529e+18,0,1,0,0,0,0,1,1,1,1,1,1,1,21331.84,10,5,35
2.84543e+16,1.37916e+19,0,1,0,0,0,0,1,1,1,1,0,1,1,19834.692,1,0,8
3.23533e+16,1.11904e+19,1,1,0,0,0,0,0,1,1,1,1,1,1,88561.47,29,10,122
3.44793e+16,1.41436e+19,0,1,1,1,0,0,0,1,1,1,1,1,1,49718.962,7,1,426
3.4832e+16,1.06737e+19,1,1,1,1,0,0,1,1,1,1,0,1,1,130519.628,23,13,93
