pet_id,customer_id,wet_food_order_number,pet_has_active_subscription,pet_food_tier,pet_allergen_list,pet_fav_flavour_list,pet_health_issue_list,neutered,gender,pet_breed_size,signup_promo,ate_wet_food_pre_tails,dry_food_brand_pre_tails,pet_life_stage_at_order,total_order_kcal,total_web_sessions,total_web_sessions_since_last_order,total_minutes_on_website,avg_minutes_per_session,total_engagement,user_cluster
362966000000000.0,1.35329e+19,0,0,1,0,1,1,1,2,3,0,1,1,1,6198.344,1,0,12,6.0,1,0
706835000000000.0,8.69605e+18,0,0,1,0,1,1,0,2,3,0,0,1,1,47147.816,11,3,18,1.5,14,0
2956960000000000.0,3.21529e+17,0,0,1,0,1,1,0,2,3,0,1,1,1,2398.968,2,1,615,205.0,3,0
3456350000000000.0,1.33534e+19,1,1,1,0,1,1,1,2,3,0,0,1,1,107410.6,7,2,813,101.625,9,1
4037560000000000.0,2.9724e+18,0,0,1,0,1,1,1,2,3,0,0,1,1,110461.6,16,1,168,9.882352941176471,17,1
6070180000000000.0,1.7406e+19,0,1,1,0,0,0,0,2,2,1,1,1,1,67387.7825,19,5,125,6.25,24,0
1.05371e+16,1.82277e+19,1,1,1,0,0,0,1,2,2,1,0,1,1,45537.01,2,0,26,8.666666666666666,2,0
1.15836e+16,9.21897e+18,0,0,1,0,0,0,0,2,2,1,0,1,1,121850.326,28,7,284,9.793103448275861,35,1
1.36642e+16,1.5332e+19,1,1,1,0,0,0,1,2,2,1,1,1,1,29862.597,44,16,3972,88.26666666666667,60,0
1.38248e+16,1.41153e+19,0,1,1,0,0,0,0,2,2,1,0,1,1,34626.675,13,6,73,5.214285714285714,19,0
1.40461e+16,6.35918e+18,1,1,1,0,0,0,0,2,2,1,1,1,1,11327.596,7,2,59,7.375,9,0
1.44559e+16,1.50397e+19,0,0,1,0,0,0,1,2,2,1,0,1,1,62303.455,3,1,14,3.5,4,0
1.49047e+16,6.59374e+18,0,0,1,0,0,0,0,2,2,1,0,1,1,9820.53,1,0,104,52.0,1,0
1.83166e+16,3.01165e+18,1,0,1,0,0,0,1,2,2,1,1,1,1,19614.555,2,0,114,38.0,2,0
1.95574e+16,6.06861e+18,0,1,1,0,0,0,1,2,2,1,0,1,1,8854.931,1,0,22,11.0,1,0
2.04718e+16,6.99423e+18,0,1,1,0,0,0,0,2,2,1,0,1,1,12151.26,1,1,4,2.0,2,0
2.11094e+16,1.48425e+18,0,0,0,0,0,0,1,1,1,1,0,1,1,311947.687,48,11,4042,82.48979591836735,59,2
2.75146e+16,6.14025e+18,0,0,0,0,0,0,0,1,1,1,0,1,1,31337.503,1,0,18,9.0,1,0
2.77232e+16,7.72529e+18,0,1,0,0,0,0,1,1,1,1,1,1,1,21331.84,10,5,35,3.1818181818181817,15,0
2.84543e+16,1.37916e+19,0,1,0,0,0,0,1,1,1,1,0,1,1,19834.692,1,0,8,4.0,1,0
3.23533e+16,1.11904e+19,1,1,0,0,0,0,0,1,1,1,1,1,1,88561.47,29,10,122,4.066666666666666,39,0
3.44793e+16,1.41436e+19,0,1,1,1,0,0,0,1,1,1,1,1,1,49718.962,7,1,426,53.25,8,0
3.4832e+16,1.06737e+19,1,1,1,1,0,0,1,1,1,1,0,1,1,130519.628,23,13,93,3.875,36,1
3.51794e+16,1.18892e+19,1,1,1,1,0,0,0,1,1,1,1,1,1,47024.355,17,6,148,8.222222222222221,23,0
3.57921e+16,1.1178e+19,0,1,1,1,0,0,1,1,1,1,1,1,1,296932.238,176,20,3195,18.050847457627118,196,2
3.78738e+16,1.33257e+19,0,1,1,1,0,0,1,1,1,1,0,1,1,593921.359,190,27,884,4.628272251308901,217,2
3.95308e+16,1.18762e+19,1,0,1,0,1,1,1,2,2,0,1,1,1,40511.909,5,1,300,50.0,6,0
3.95451e+16,1.08909e+19,0,1,1,0,1,1,1,2,2,0,0,1,1,37194.384,9,5,78,7.8,14,0
4.45941e+16,1.26024e+19,0,1,1,0,1,1,0,2,2,0,0,1,1,97844.753,12,9,1344,103.38461538461539,21,1
4.47557e+16,4.99614e+18,1,0,0,0,0,1,1,2,3,1,1,1,1,25121.698,23,15,2364,98.5,38,0
4.51279e+16,1.75394e+19,0,1,0,0,0,1,1,2,3,1,1,1,1,15883.964,2,1,45,15.0,3,0
4.60187e+16,1.07472e+19,0,1,1,1,1,1,0,1,2,0,0,1,2,76268.4805,11,2,74,6.166666666666667,13,0
4.95945e+16,1.67405e+19,0,0,1,1,1,1,0,2,2,0,0,1,1,48979.973,5,1,79,13.166666666666666,6,0
4.97117e+16,1.19564e+19,1,0,1,1,1,1,1,2,2,0,1,1,1,95158.29,60,18,3774,61.868852459016395,78,1
4.97613e+16,3.59273e+18,0,1,1,1,1,1,0,2,2,0,0,1,1,30194.703,36,16,3485,94.1891891891892,52,0
5.15163e+16,6.87588e+18,0,0,0,0,0,1,1,1,3,1,0,1,2,30895.184,1,0,8,4.0,1,0
5.20339e+16,4.63719e+18,1,1,0,0,0,1,1,1,3,1,1,1,2,23617.245,32,21,2482,75.21212121212122,53,0
5.48603e+16,4.86664e+18,1,1,0,0,0,1,0,1,3,1,0,1,2,24363.252,7,5,59,7.375,12,0
5.56483e+16,1.51724e+19,0,1,0,0,0,1,0,1,3,1,1,1,2,13963.816,10,5,204,18.545454545454547,15,0
5.68526e+16,1.07809e+19,0,0,0,0,0,1,0,1,3,1,0,1,2,91014.963,14,4,49,3.2666666666666666,18,0
5.75825e+16,8.60786e+18,0,1,0,0,0,1,1,1,3,1,0,1,2,77423.807,120,29,13319,110.07438016528926,149,0
5.78273e+16,6.89858e+18,0,1,0,0,0,1,1,1,3,1,1,1,2,70247.902,9,4,462,46.2,13,0
5.87057e+16,4.67366e+18,1,1,1,0,0,1,0,2,2,1,1,1,1,120374.877,32,12,1856,56.24242424242424,44,1
6.00421e+16,2.58537e+18,0,1,1,0,0,1,0,2,2,1,1,1,1,239003.085,11,2,85,7.083333333333333,13,1
6.17159e+16,1.52993e+18,1,1,1,0,0,1,0,2,2,1,1,1,1,6015.216,1,0,19,9.5,1,0
6.1818e+16,3.76343e+18,0,1,1,0,0,1,0,2,2,1,1,1,1,18519.805,7,4,29,3.625,11,0
6.68004e+16,4.544e+18,0,1,1,0,0,1,1,2,2,1,1,1,1,58040.875,61,15,4297,69.30645161290323,76,0
6.71018e+16,6.88615e+18,1,1,1,0,0,1,1,2,2,1,1,1,1,223260.1,68,14,4098,59.391304347826086,82,1
6.77828e+16,5.48682e+18,0,0,1,0,0,1,0,2,2,1,0,1,1,9313.161,3,1,18,4.5,4,0
6.88898e+16,1.41635e+19,0,0,1,0,0,0,1,2,3,0,0,1,1,44117.852,9,2,39,3.9,11,0
6.91224e+16,6.55779e+18,0,1,1,0,0,0,0,2,3,0,0,1,1,853957.317,107,12,672,6.222222222222222,119,2
6.92371e+16,2.47683e+17,0,0,1,0,0,0,1,2,3,0,0,1,1,19153.717,3,1,28,7.0,4,0
7.23037e+16,6.53904e+18,1,0,1,0,0,0,0,2,3,1,1,1,1,15162.596,7,5,363,45.375,12,0
7.36391e+16,7.69918e+18,0,1,1,0,0,0,0,2,3,1,1,1,1,39397.3065,30,7,5335,172.09677419354838,37,0
7.49695e+16,1.59455e+18,0,1,1,0,0,0,0,2,3,1,0,1,1,23721.884,13,4,80,5.714285714285714,17,0
7.61844e+16,1.31149e+19,0,1,1,0,0,0,0,2,3,1,1,1,1,32111.685,5,3,39,6.5,8,0
7.67307e+16,5.86171e+18,0,0,1,1,1,1,0,2,1,1,0,0,1,9034.18,1,0,19,9.5,1,0
7.96105e+16,1.28696e+19,0,0,1,1,1,1,1,2,1,1,0,0,1,10841.505,1,0,16,8.0,1,0
8.01161e+16,1.49967e+19,1,1,1,1,1,1,0,2,1,1,1,0,1,643885.499,153,27,1715,11.136363636363637,180,2
8.1857e+16,4.39284e+18,0,1,1,1,0,1,0,1,3,1,0,1,1,264568.065,20,4,107,5.095238095238095,24,2
