ship_type,ship_id_numeric,month_numeric,route_id,distance,fuel_type,fuel_consumption,CO2_emissions,weather_conditions,engine_efficiency,fuel_per_distance,co2_per_fuel,total_energy_output,ship_profile_cluster
1,0,1,3,132.26,1,3779.77,10625.76,2,92.14,28.363875131322228,2.8104751148575557,14405.53,2
1,0,2,2,128.52,1,4461.44,12779.73,1,92.98,34.44595429277331,2.863843547476269,17241.17,2
1,0,3,2,67.3,1,1867.73,5353.01,0,87.61,27.34597364568082,2.864517613566433,7220.74,0
1,0,4,2,71.68,0,2393.51,6506.52,2,87.42,32.93216840946615,2.7172657453925853,8900.03,0
1,0,5,1,134.32,1,4267.19,11617.03,0,85.61,31.53406739580254,2.7217696494298522,15884.220000000001,2
1,0,6,2,85.93,0,2342.13,6753.42,2,72.82,26.942712527320833,2.882221643698813,9095.55,0
1,0,7,3,85.67,1,2974.79,8498.16,1,93.93,34.32317987769701,2.8557660318772493,11472.95,0
1,0,8,3,44.81,0,1376.38,3509.56,1,91.1,30.045404933420652,2.5479969216919076,4885.9400000000005,0
1,0,9,0,116.44,0,3661.75,9423.97,0,73.41,31.17975136239782,2.5729219848474507,13085.72,0
1,0,10,1,99.73,1,2551.99,6416.66,1,94.68,25.334954829742873,2.5133901817085067,8968.65,0
1,0,11,2,149.9,1,4014.14,11930.11,2,76.53,26.60132538104705,2.971281200655519,15944.25,2
1,0,12,0,53.21,1,1674.21,4671.66,0,84.59,30.883785279468732,2.7887011180687793,6345.87,0
0,1,1,3,92.03,1,2222.43,5766.12,1,85.52,23.88939051918736,2.593344517254872,7988.549999999999,0
0,1,2,0,141.91,1,3669.79,10052.39,0,83.52,25.67902875935904,2.7384813623225517,13722.18,2
0,1,3,0,51.65,0,1353.75,3649.81,0,74.32,25.712250712250714,2.694083779295073,5003.5599999999995,0
0,1,4,1,197.46,0,5695.04,16991.82,1,89.36,28.696160435352212,2.983093517601702,22686.86,2
0,1,5,2,72.25,0,1873.13,5427.9,2,78.01,25.571740614334473,2.896223847865409,7301.03,0
0,1,6,2,183.15,0,3743.91,9542.8,0,80.83,20.330762964974205,2.548205430838124,13286.71,2
0,1,7,3,160.43,1,3626.57,10355.16,2,77.8,22.46527906832683,2.854572068905631,13981.73,2
0,1,8,2,121.07,0,2441.62,6537.61,0,76.08,20.001802244613746,2.6764744413785198,8979.23,0
0,1,9,1,193.59,0,5565.57,15355.6,0,87.91,28.601521147027082,2.7585389207357496,20921.17,2
0,1,10,0,144.15,0,3649.72,9225.45,1,83.86,25.144471236651736,2.527022066879958,12875.17,2
0,1,11,1,154.6,0,4592.25,12442.34,2,92.07,29.513174807197945,2.708831437435367,17034.59,2
